name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul,country
RT Lyons,2006-2010,25,23,182.1,10,901,20,3/21,45.05,4.94,54.6,0,0,SCOT
N Madziva,2014-2016,12,12,86.4,2,519,20,4/49,25.95,5.98,26.0,1,0,ZIM
JO Ngoche,2010-2013,17,17,146.2,13,569,20,3/18,28.45,3.88,43.9,0,0,KENYA
NO Perry,1999-2000,21,21,157.4,2,783,20,3/45,39.15,4.96,47.3,0,0,WI
DA Reeve,1991-1996,29,28,191.1,15,820,20,3/20,41.0,4.28,57.3,0,0,ENG
RJ Shastri,1990-1992,31,25,184.5,6,783,20,5/15,39.15,4.23,55.4,0,1,IND
RML Taylor,2013-2016,15,15,118.5,5,617,20,3/39,30.85,5.19,35.6,0,0,SCOT
RP Burl,2017-2024,52,33,121.4,2,766,19,5/10,40.31,6.29,38.4,1,1,ZIM
Enamul Haque,1990-2002,29,28,206.2,3,1083,19,2/40,57.0,5.24,65.1,0,0,BAN
IG Holland,2019-2022,15,14,104.4,6,466,19,3/11,24.52,4.45,33.0,0,0,USA
